max_table_score,mean_table_score
0,0
0,0
0,0
1,1
1,1
1,1
1.333333,1.013333
1.333333,1.013333
1.333333,1.013333
1.333333,1.008889
1.333333,1.008889
1.333333,1.008889
1.333333,1.006667
1.333333,1.006667
1.333333,1.006667
1.333333,1.006667
1.333333,1.006667
1.333333,1.006667
14,1.136667
14,1.136667
14,1.136667
14,1.136667
14,1.136667
14,1.136667
14,1.136667
14,1.136667
14,1.136667
14,1.14
14,1.14
14,1.14
14,1.14
14,1.14
14,1.14
14,1.14
14,1.14
14,1.14
14,1.14
14,1.14
14,1.14
14,1.143333
14,1.143333
14,1.143333
